Collection,Datetime_updated_seconds,Price_USD
Axie,2018-12-09 10:18:41,4.77225
Axie,2018-12-09 09:51:40,17.1801
Axie,2018-12-09 09:50:34,47.72249999999999
Axie,2018-12-09 09:13:37,12.40785
Axie,2018-12-09 09:11:33,18.13455
Axie,2018-12-09 08:06:46,1.9089
Axie,2018-12-09 07:05:28,7.186875937499999
Axie,2018-12-09 07:05:28,7.138799937499997
Axie,2018-12-08 23:52:40,4.624676999999999
Axie,2018-12-08 23:02:12,3.7146
Axie,2018-12-08 22:55:15,55.719
Axie,2018-12-08 22:55:03,139.2975
Axie,2018-12-08 20:21:44,4.643250000000001
Axie,2018-12-08 18:46:22,3.7146
Axie,2018-12-08 18:41:01,3.7146
Axie,2018-12-08 18:40:01,3.2502750000000007
Axie,2018-12-08 17:09:25,1.191670765625
Axie,2018-12-08 15:32:03,1.7621133750000004
Axie,2018-12-08 15:30:04,1.745488881696429
Axie,2018-12-08 15:26:22,8.357850000000001
Axie,2018-12-08 15:24:43,1.7889087968750004
Axie,2018-12-08 15:03:29,8.357850000000001
Axie,2018-12-08 14:55:09,1.9522931562500003
Axie,2018-12-08 14:50:01,1.782277118055556
Axie,2018-12-08 14:33:37,7.429200000000002
Axie,2018-12-08 14:31:26,3.2502750000000007
Axie,2018-12-08 14:30:58,3.2502750000000007
Axie,2018-12-08 14:29:46,7.429200000000002
Axie,2018-12-08 14:03:34,3.051045180555556
Axie,2018-12-08 11:24:22,4.178925
Axie,2018-12-08 09:36:39,6.500550000000001
Axie,2018-12-08 09:34:47,6.500550000000001
Axie,2018-12-08 09:33:29,6.748095474930644
Axie,2018-12-08 07:23:54,1.962203055555556
Axie,2018-12-08 07:18:20,1.9700277916666664
Axie,2018-12-08 07:13:59,3.7146
Axie,2018-12-08 04:04:41,2.4431233750000003
Axie,2018-12-08 03:31:21,9.286500000000002
Axie,2018-12-08 02:39:24,2.78595
Axie,2018-12-08 00:28:20,1.8573
Axie,2018-12-08 00:20:35,3.027270020833334
Axie,2018-12-08 00:19:42,1.9781964722222225
Axie,2018-12-08 00:18:00,1.8573
Axie,2018-12-08 00:16:52,1.8573
Axie,2018-12-07 22:42:28,8.9825085
Axie,2018-12-07 17:49:15,69.68412499999998
Axie,2018-12-07 17:45:16,53.94899999999999
Axie,2018-12-07 15:05:30,4.179892342013888
Axie,2018-12-07 14:33:18,80.84388776041666
Axie,2018-12-07 13:07:40,8.541925
Axie,2018-12-07 05:49:50,11.68895
Axie,2018-12-07 03:33:26,4.49575
Axie,2018-12-07 02:08:20,16.1847
Axie,2018-12-07 01:56:50,10.07897197222222
Axie,2018-12-07 01:26:01,22.4697585
Axie,2018-12-07 01:04:01,3.5966
Axie,2018-12-07 00:42:03,3.5966
Axie,2018-12-07 00:40:42,3.2907224907407406
Axie,2018-12-06 21:10:13,2.5646147201003093
